ITM2A	9452	4.17485e-84
HOXA4	3201	2.94176e-74
SFRP1	6422	3.23698e-72
OSR1	130497	6.69912e-72
SPRY2	10253	1.77342e-69
CNTNAP3	79937	2.46935e-68
GJB2	2706	1.67241e-67
MATN2	4147	4.53405e-66
UBE2E3	10477	2.44153e-65
LAGE3	8270	1.01563e-64
MMP11	4320	4.33045e-64
POC1A	25886	4.75991e-64
COL11A1	1301	2.69423e-62
MME	4311	3.27649e-62
KIF4A	24137	1.36592e-58
NVL	4931	1.38964e-58
PLPP4	196051	8.02519e-58
RGN	9104	1.53404e-57
EPYC	1833	4.10291e-57
SCT	6343	4.5616e-57
DACT2	168002	8.4191e-57
PROS1	5627	3.46067e-56
KLHL29	114818	2.23842e-55
ANKRD29	147463	8.41242e-55
FANCI	55215	1.65491e-54
TSLP	85480	1.56782e-53
TPX2	22974	7.75043e-53
SGCE	8910	1.13447e-52
CST1	1469	1.43157e-52
FAXDC2	10826	2.0471e-52
PAQR4	124222	4.84079e-52
MMP13	4322	5.89325e-52
VEGFD	2277	8.08224e-52
CXCL2	2920	1.15521e-51
SCARA5	286133	1.32467e-51
CRYBG2	55057	1.92551e-51
FGF2	2247	2.96387e-51
NFIB	4781	3.40375e-51
PLA2G4A	5321	7.71942e-51
COL10A1	1300	8.68281e-51
CTTNBP2	83992	1.32102e-50
CCDC167	154467	6.5662e-50
SAMD14	201191	8.40598e-50
PRC1	9055	1.38712e-49
MAMDC2	256691	2.6272e-49
NECAB1	64168	8.68729e-49
POP1	10940	1.07642e-48
UBE2C	11065	1.14832e-48
BEND7	222389	1.56492e-48
CDCA5	113130	4.6092e-48
PARP1	142	7.88836e-48
RACGAP1	29127	9.33028e-48
STOX2	56977	1.04144e-47
LIFR	3977	1.16161e-47
TACC3	10460	1.48221e-47
ANKRD35	148741	2.26482e-47
JPT1	51155	2.64882e-47
MTRNR2L1	100462977	2.64882e-47
GULP1	51454	2.72169e-47
SPAG5	10615	2.84991e-47
S100B	6285	5.8868e-47
CAVIN2	8436	6.84556e-47
RPS25	6230	1.12417e-46
IGSF10	285313	2.4746e-46
LIMS2	55679	3.19254e-46
FAM13A	10144	3.21269e-46
CLIP4	79745	6.58729e-46
HOXA7	3204	1.16211e-45
INHBA	3624	1.31339e-45
PLAGL1	5325	1.34768e-45
ID4	3400	1.36502e-45
PLEKHH2	130271	1.90533e-45
RHOJ	57381	2.59111e-45
ADAMTS5	11096	3.74845e-45
CA4	762	5.20863e-45
NTRK2	4915	5.31167e-45
CCN4	8840	9.03126e-45
CDCA8	55143	1.05192e-44
RND3	390	1.21474e-44
CSE1L	1434	1.25347e-44
NDRG2	57447	1.71341e-44
IBSP	3381	2.14904e-44
IRS1	3667	3.96763e-44
MOB3B	79817	4.78732e-44
MID1	4281	8.30228e-44
RAD51	5888	1.04193e-43
MKI67	4288	1.37263e-43
NAP1L2	4674	1.7443e-43
PLD1	5337	2.07206e-43
SKA3	221150	2.74067e-43
SLC25A27	9481	6.53875e-43
CENPE	1062	6.68275e-43
PDGFRA	5156	1.86118e-42
TSPAN7	7102	3.22398e-42
FEN1	2237	4.55014e-42
SLC35A2	7355	5.60419e-42
SMC4	10051	7.49515e-42
ABHD2	11057	1.05707e-41
PLPP3	8613	1.08078e-41
RYR3	6263	1.11961e-41
HAGHL	84264	1.14142e-41
TRIP13	9319	1.92354e-41
CFAP45	25790	2.13939e-41
SLC50A1	55974	2.35107e-41
TMEM47	83604	2.39798e-41
KPNA2	3838	3.59973e-41
MEIS2	4212	4.27557e-41
INPP1	3628	5.25757e-41
PLAC1	10761	5.62042e-41
ABCA5	23461	7.51161e-41
PRKD1	5587	1.06507e-40
HMGB3P1	128872	1.11879e-40
MICU3	286097	1.13513e-40
AURKA	6790	1.99839e-40
SYNM	23336	2.1391e-40
GPRASP1	9737	2.22429e-40
NEK2	4751	2.81553e-40
DHTKD1	55526	3.64078e-40
TEDC2	80178	4.06879e-40
CD80	941	4.19971e-40
CDC6	990	5.13018e-40
UBAP2L	9898	5.55825e-40
CST2	1470	6.51753e-40
FREM1	158326	6.64177e-40
DNAJC1	64215	7.19831e-40
UBE2T	29089	7.99837e-40
CCT3	7203	9.69614e-40
INTS7	25896	9.73389e-40
GTSE1	51512	1.01842e-39
H2AC17	8336	1.1318e-39
EGFR	1956	1.22827e-39
KIF20A	10112	1.40141e-39
SPC25	57405	1.66816e-39
C1QTNF6	114904	1.82378e-39
LBHD1	79081	1.98847e-39
C11orf98	102288414	1.98847e-39
CCNE2	9134	2.0464e-39
LRRC15	131578	2.10758e-39
ERCC6L	54821	2.15139e-39
FXYD1	5348	2.17961e-39
BUB1B	701	2.72165e-39
IL11RA	3590	3.46827e-39
ADRB2	154	4.05342e-39
CCNB1	891	4.11468e-39
MELK	9833	4.48553e-39
CDYL2	124359	4.77173e-39
ASXL3	80816	4.98464e-39
ANLN	54443	5.19438e-39
CSTF2	1478	5.41748e-39
SOD3	6649	5.84626e-39
H2AC18	8337	6.14375e-39
PTTG2	10744	6.39426e-39
KREMEN2	79412	8.30493e-39
CCDC78	124093	8.52589e-39
BUB1	699	8.82928e-39
GPC3	2719	9.67526e-39
CENPF	1063	1.01493e-38
RNF145	153830	1.02457e-38
TOP2A	7153	1.18546e-38
NAXE	128240	1.25747e-38
PSENEN	55851	1.33958e-38
KIF2C	11004	1.40119e-38
MAOB	4129	1.6199e-38
MCM10	55388	1.6413e-38
RABIF	5877	1.72807e-38
ANKAR	150709	1.78552e-38
SRPX	8406	2.39924e-38
EXO1	9156	2.69684e-38
RCBTB2	1102	3.28239e-38
ZNF502	91392	3.775e-38
RECQL4	9401	4.30049e-38
PJA2	9867	4.6381e-38
UHRF1	29128	6.79436e-38
MCM4	4173	7.52821e-38
FAM83D	81610	7.8297e-38
DTYMK	1841	1.00449e-37
TDRKH	11022	1.16148e-37
CDC25C	995	1.2164e-37
CDCA2	157313	1.32793e-37
HOXA5	3202	1.39012e-37
NUF2	83540	1.57743e-37
CKAP2	26586	1.73427e-37
PTTG1	9232	1.79624e-37
BIRC5	332	1.93874e-37
CILP2	148113	2.04846e-37
H3C7	8968	2.41103e-37
PLK1	5347	2.60415e-37
FLVCR1	28982	2.63608e-37
H2AX	3014	3.23083e-37
ANXA1	301	4.36001e-37
TMTC1	83857	4.498e-37
CDK1	983	4.88118e-37
CENPO	79172	5.99082e-37
EEF2KMT	196483	8.72744e-37
OIP5	11339	9.27606e-37
CHL1	10752	9.40294e-37
H2BC9	8345	9.96527e-37
RNFT2	84900	1.00594e-36
POLR3K	51728	1.13853e-36
ZNF521	25925	1.29025e-36
METRN	79006	1.29683e-36
LEPR	3953	1.32787e-36
SAMD11	148398	1.36314e-36
ADD3	120	1.3802e-36
DARS2	55157	1.54495e-36
KIF15	56992	1.84965e-36
TTC28	23331	1.94866e-36
MIR99AHG	388815	2.08708e-36
TIMELESS	8914	2.2056e-36
CCDC82	79780	2.48394e-36
TMEM270	135886	2.53113e-36
ROBO3	64221	2.60116e-36
SPRY1	10252	2.63769e-36
THSD1	55901	2.86444e-36
VIT	5212	2.94531e-36
H3C10	8357	3.37495e-36
CDKN3	1033	3.79336e-36
IRS2	8660	3.81399e-36
CKS2	1164	3.95818e-36
ASPM	259266	4.13288e-36
TPM3	7170	4.80432e-36
NDC80	10403	6.13822e-36
SH3BGRL2	83699	6.2103e-36
DMD	1756	6.27598e-36
TUB	7275	6.53786e-36
OGN	4969	6.86431e-36
HMGB3	3149	6.89739e-36
E2F7	144455	7.0617e-36
GSTP1	2950	8.44454e-36
PYCR3	65263	8.63897e-36
MBNL2	10150	8.88486e-36
KIF26B	55083	1.16752e-35
DTL	51514	1.25121e-35
KCNJ16	3773	1.26241e-35
TEAD4	7004	1.30001e-35
ENPP2	5168	1.37605e-35
WDHD1	11169	1.58363e-35
CFD	1675	1.62522e-35
ARHGAP5-AS1	84837	2.16655e-35
ADGRL2	23266	2.37735e-35
CLYBL	171425	2.57993e-35
FAM184A	79632	2.92119e-35
CEP55	55165	3.1258e-35
NRG2	9542	3.15668e-35
TARS2	80222	3.55513e-35
ZWINT	11130	3.79226e-35
DUSP6	1848	3.98e-35
NUP50	10762	4.5953e-35
H2AC13	8329	5.12237e-35
IL33	90865	5.13386e-35
SCN4B	6330	5.21281e-35
GDF10	2662	5.62216e-35
PTTG3P	26255	5.73207e-35
B4GALT3	8703	6.33725e-35
TTC16	158248	6.86764e-35
RBMS3	27303	7.90312e-35
CD200	4345	7.91078e-35
CCL11	6356	8.16209e-35
F11R	50848	8.61773e-35
LRRC3B	116135	8.91923e-35
KIFC1	3833	9.9531e-35
SEMA6A	57556	1.11418e-34
NCAPH	23397	1.33312e-34
STARD9	57519	1.40164e-34
MRGBP	55257	1.55895e-34
CTPS2	56474	1.56777e-34
CEMIP	57214	1.63532e-34
TUFT1	7286	1.74084e-34
XPO5	57510	1.97254e-34
GBA	2629	2.58102e-34
KIF22	3835	3.15091e-34
PLK4	10733	3.37493e-34
MFAP2	4237	3.45262e-34
LYSMD4	145748	3.67184e-34
GALNT10	55568	3.7582e-34
NUAK2	81788	4.46968e-34
CENPA	1058	4.58553e-34
CAV1	857	4.89581e-34
POP7	10248	5.94625e-34
LGR4	55366	6.1054e-34
H3C4	8351	6.52292e-34
RASSF9	9182	6.61513e-34
TNFRSF18	8784	7.61379e-34
CDO1	1036	8.90776e-34
PLIN4	729359	9.39951e-34
C10orf90	118611	9.47343e-34
KIF23	9493	9.61103e-34
GPRC5A	9052	9.87088e-34
TPO	7173	1.06717e-33
CAV2	858	1.1921e-33
ADORA2A	135	1.19861e-33
KIF11	3832	1.23337e-33
FGF7P6	387628	1.32653e-33
FMO2	2327	1.34778e-33
H2AC16	8332	1.74069e-33
PAMR1	25891	1.77664e-33
HYAL3	8372	1.89187e-33
ADM2	79924	2.19225e-33
NUSAP1	51203	2.37943e-33
ZDHHC2	51201	2.43338e-33
FN1	2335	2.57636e-33
GPR84	53831	2.80206e-33
SNRNP25	79622	2.94351e-33
TLE4	7091	3.13496e-33
MEOX2	4223	3.29412e-33
CAPN6	827	3.46892e-33
DCTPP1	79077	3.82532e-33
EMC9	51016	4.05285e-33
SLC29A3	55315	4.20389e-33
PPP1R14B	26472	4.20893e-33
EDNRB	1910	4.40782e-33
C1QTNF9	338872	4.8084e-33
ATP1A2	477	4.99129e-33
METTL7A	25840	5.38416e-33
TPRN	286262	5.59087e-33
NR3C1	2908	5.6079e-33
HOXA3	3200	5.62546e-33
SSPN	8082	5.77214e-33
ABLIM1	3983	6.31883e-33
LPCAT1	79888	7.06309e-33
MPPED2	744	7.26815e-33
UFSP2	55325	7.44023e-33
CD59	966	8.84264e-33
RAE1	8480	8.86368e-33
ADAR	103	9.20219e-33
CDC45	8318	1.05712e-32
C1orf112	55732	1.07794e-32
MTFR2	113115	1.15526e-32
PGAP4	84302	1.17124e-32
KCNB1	3745	1.34332e-32
PDK4	5166	1.39639e-32
ATAD2	29028	1.45302e-32
DST	667	1.52926e-32
RNF150	57484	1.56556e-32
NLGN1	22871	1.73227e-32
DAP3	7818	1.8584e-32
H2BC3	3018	1.94439e-32
PJVK	494513	2.15272e-32
CRYAB	1410	2.17012e-32
ASF1B	55723	2.38168e-32
PUSL1	126789	2.45574e-32
TICRR	90381	3.05376e-32
LRIG3	121227	3.09352e-32
LIG3	3980	3.09352e-32
NAP1L5	266812	3.26552e-32
CDCA3	83461	3.47027e-32
DNASE1	1773	3.50418e-32
PASK	23178	3.62051e-32
UGGT1	56886	3.67089e-32
ROR1	4919	4.06035e-32
PMM2	5373	4.68607e-32
PTAR1	375743	4.72736e-32
PPP1R1A	5502	5.13395e-32
ZNF707	286075	5.53669e-32
